"rep","mesh_cfg","mesh_n","n_enc","elapsed","beta1_mean","beta1_sd","beta1_lo","beta1_hi","range_mean","range_lo","range_hi","sigma_mean","sigma_lo","sigma_hi"
1,"Coarse",621,262,1.71000000000004,-2.01586832677173,0.235799784370118,-2.47802741169947,-1.55370924184399,6.6030718694605,1.73373533963076,13.9637886620693,0.846342184856702,0.348320344139671,1.28046964305919
1,"Standard (main study)",2340,262,4.53000000000065,-1.91740259411822,0.251345702124939,-2.41003111795203,-1.42477407028441,2.92590372758068,1.19347971255989,5.24196486097108,0.80264007851182,0.48395778182292,1.0699985612207
1,"Fine + extended boundary",9230,262,22.8599999999997,-1.90257428552346,0.248317930026948,-2.38926848509181,-1.4158800859551,1.69230101208487,0.920149640904357,2.62403828075093,0.879678929877874,0.608796535958043,1.11016882864739
2,"Coarse",621,356,1.59000000000015,-3.11084789820086,0.307939025296417,-3.7143972972162,-2.50729849918551,6.16067869401705,2.32936542312494,11.2985526735803,1.30499408423278,0.477261409829459,2.05094137558986
2,"Standard (main study)",2340,356,4.36000000000058,-2.80221039551836,0.316238244660461,-3.42202596558703,-2.18239482544969,4.2505799690105,1.85153395726423,7.35392705216149,1.14101173737451,0.556468999155202,1.66282847760144
2,"Fine + extended boundary",9230,356,21.54,-2.67979511004003,0.324253898529762,-3.31532107300507,-2.04426914707499,3.36768873928527,1.5342554028765,5.73193937558019,1.10428846420405,0.610813175460688,1.54599776498368
3,"Coarse",621,475,1.47000000000025,-3.8258237124924,0.369467349755376,-4.54996641147641,-3.1016810135084,3.54153681527841,1.6663818779773,5.90785574479323,1.20583070503103,0.588777307777917,1.75849902823381
3,"Standard (main study)",2340,475,4.32999999999993,-3.07219698361573,0.351998325922993,-3.76210102504319,-2.38229294218828,2.35453546223554,1.41689780701643,3.45128544339125,1.07506892722888,0.705486269615839,1.40741058690812
3,"Fine + extended boundary",9230,475,20.7599999999993,-2.91259324044454,0.352250878375458,-3.60299227558304,-2.22219420530604,1.88936286474091,1.20706674566713,2.67069100757169,1.10709264662441,0.776785575713199,1.40453094401629
4,"Coarse",621,308,1.72999999999956,-3.2062534020151,0.36335928071985,-3.91842450567438,-2.49408229835581,5.64796107915979,2.48566188851364,9.66214937545018,1.51899242964776,0.634572642834545,2.30268615734607
4,"Standard (main study)",2340,308,4.52999999999975,-2.802582417965,0.370961903228292,-3.52965438792888,-2.07551044800111,4.16258898637482,1.98132964565723,6.88539911163102,1.38302786825608,0.705394179826315,1.98436302916283
4,"Fine + extended boundary",9230,308,20.5899999999992,-2.71183768178431,0.382103134859098,-3.46074606448799,-1.96292929908063,3.41117810669403,1.63461261513792,5.63729686892766,1.35846610759509,0.754722381123457,1.89646283189803
5,"Coarse",621,293,1.73999999999978,-1.93910142483323,0.25843402929119,-2.44562281462353,-1.43258003504292,2.80591205385507,1.48081098074908,4.40014773671824,0.856980519304378,0.526294814488255,1.14832893467202
5,"Standard (main study)",2340,293,4.43000000000029,-1.84029242355905,0.270819881267781,-2.37108963714132,-1.30949520997679,2.39763043879086,1.36605567659584,3.61846927811765,0.959679378727184,0.624038027182094,1.25766215605772
5,"Fine + extended boundary",9230,293,22.1500000000005,-1.85862916980718,0.270883405104052,-2.3895508878207,-1.32770745179367,1.89464340170291,1.11890800632898,2.80255395805095,1.00332911339679,0.70192465949936,1.27055921393758
6,"Coarse",621,227,1.80000000000018,-2.28865471805757,0.236700146457017,-2.75257848024868,-1.82473095586646,3.42539788406568,1.32160793680655,6.15187757821628,0.607029944241035,0.285912167166406,0.876268832259828
6,"Standard (main study)",2340,227,4.3100000000004,-2.20710884059675,0.248776205359951,-2.69470124331279,-1.7195164378807,2.60645290104231,1.1833028345397,4.37493472900939,0.676155570090596,0.365678575223975,0.936449726256099
6,"Fine + extended boundary",9230,227,21.3400000000001,-2.19646993739888,0.256983640855872,-2.70014861809237,-1.69279125670539,2.13604248098517,1.01558456075341,3.51218327953179,0.72765989224456,0.42280865112146,0.981859777737334
7,"Coarse",621,437,1.55000000000018,-3.17604170649768,0.301888230194907,-3.76773176503623,-2.58435164795912,3.71572047715222,1.68195729019889,6.28726468735581,0.984960580408621,0.506959378164831,1.40871118756263
7,"Standard (main study)",2340,437,4.53999999999996,-2.73234291175506,0.2995577714036,-3.31946535499519,-2.14522046851492,2.89192689549514,1.52437114006794,4.55582717577087,0.962982940236907,0.580154777603952,1.30467150607735
7,"Fine + extended boundary",9230,437,22.9400000000005,-2.6512769682781,0.30118893543597,-3.24159643427456,-2.06095750228164,2.3377170915473,1.29212324622789,3.59588844289871,0.962122117837066,0.626964950486579,1.26253695498546
8,"Coarse",621,354,1.67999999999938,-2.74074570485454,0.270360600334702,-3.27064274434918,-2.2108486653599,3.27581627482489,1.56180829174133,5.40363310827489,0.809133569498632,0.44671237296522,1.12552354467024
8,"Standard (main study)",2340,354,4.14999999999964,-2.486389444447,0.277235125447974,-3.02976030557448,-1.94301858331953,2.48093074388847,1.36849445744245,3.80711567373576,0.84169012415839,0.531533740817434,1.11403633651846
8,"Fine + extended boundary",9230,354,22.75,-2.4263043571105,0.2810458161097,-2.97714403469118,-1.87546467952983,1.97599598345717,1.1442344209366,2.95433846358134,0.879317257683799,0.597208352960471,1.12762950193873
9,"Coarse",621,354,1.64999999999964,-3.95806115513993,0.436097674018782,-4.81279688995843,-3.10332542032142,5.76211081283574,2.46892802630761,9.9100222844918,1.96391048118997,0.702678716565215,3.07081788778746
